title,date,victim,malware_names,threat,impacts,location,data_source_link_url
Akira and Blackbyte both claim Cyberattack at Yamaha Music Equipment Manufacturer,06/14/2023,The Yamaha Corporation [musical equipment],,"BlackByte, Akira Ransomware Gang",IT,Japan,https://icsstrive.com/incident/both-akira-and-blackbyte-claim-cyberattack-at-yamaha-music-equipment-manufacturer/
Dutch Port Authority Websites Bombarded With a DDoS Attack,06/14/2023,Port Authorities in The Netherlands,DDoS Attack,NoName057(16),IT,Netherlands,https://icsstrive.com/incident/dutch-port-authority-website-bombarded-with-a-ddos-attack/
Brunswick Corp. Recovering from Serious Cyberattack,06/13/2023,Brunswick Corporation,,,OT IT,United States,https://icsstrive.com/incident/brunswick-corp-recovering-from-serious-cyberattack/
NoName Hits Swiss Governments and Rail sites with DDoS Attack,06/12/2023,"Swiss Federal Railways, Swiss federal government",DDoS Attack,NoName057(16),IT,Switzerland,https://icsstrive.com/incident/noname-hits-swiss-governments-and-rail-sites-with-ddos-attack/
Cyberattack Takes German University IT Systems Offline,06/12/2023,Kaiserslautern University of Applied Sciences,,,IT,Germany,https://icsstrive.com/incident/cyberattack-takes-german-university-it-systems-offline/
Haynes International Cyberattack Estimated Cost is $18-$20 Million,06/10/2023,"Haynes International, Inc",,LockBit,OT IT,United States,https://icsstrive.com/incident/haynes-international-cyberattack-estimated-cost-is-18-20-million/
British Airways also Breached by MOVEit Software Hack (Zellis),06/07/2023,British Airways,,,IT,United Kingdom,https://icsstrive.com/incident/british-airways-also-breached-by-moveit-software-hack-zellis/
Boots also Victim MOVEit Software Hack at Zellis,06/07/2023,Boots,,Clop (or Cl0p) ransomware gang,IT,United Kingdom,https://icsstrive.com/incident/boots-also-victim-moveit-software-hack-at-zellis/
BBC Victim of MOVEit Software Hack at Payroll Service Provider Zellis,06/07/2023,BBC,,Clop (or Cl0p) ransomware gang,IT,,https://icsstrive.com/incident/bbc-victim-of-moveit-software-hack-at-payroll-service-provider-zellis/
Lockbit Attacks US Networks of Largest Zipper Manufacturer in Japan,06/06/2023,YKK Group,,,IT,"Japan, United States",https://icsstrive.com/incident/lockbit-attacks-us-networks-of-largest-zipper-manufacturer-in-japan/
NoName DDoS Attacks on Port Authorities Throughout Canada,06/06/2023,"Trois-Rivières Port Authority, Port of Nanaimo, Port of Belledune, Port de Saguenay",DDoS Attack,NoName057(16),IT,Canada,https://icsstrive.com/incident/noname-ddos-attacks-on-port-authorities-throughout-canada/
MOVEit Transfer data breach at Zellis affect,06/05/2023,Zellis,,Clop (or Cl0p) ransomware gang,IT,United Kingdom,https://icsstrive.com/incident/moveit-transfer-data-breach-at-zellis-affect/
MOVEit Transfer Hack Affects Aer Lingus,06/05/2023,,,Clop (or Cl0p) ransomware gang,IT,Ireland,https://icsstrive.com/incident/moveit-transfer-hack-affects-aer-lingus/
Renewable Energy Company hep global Target of Cyberattack,06/05/2023,,,,IT,"Germany, Global",https://icsstrive.com/incident/renewable-energy-company-hep-global-target-of-cyberattack/
Eisai Pharma Takes Systems Offline After Ransomware Attack,06/03/2023,Eisai Co. Ltd.,,,IT,Japan,https://icsstrive.com/incident/eisai-pharma-to-suffer-ransomware-attack/
"ALPHV Group Hacks Belgian Secure Access Control Manufacturer, Automation Systems",06/03/2023,Automation Systems,,BlackCat / ALPHV,IT,Belgium,https://icsstrive.com/incident/alphv-group-hacks-belgian-secure-access-control-manufacturer-automation-systems/
Schneider Hit In MOVEit Transfer Zero Day,05/30/2023,Schneider Electric SE,,Clop (or Cl0p) ransomware gang,IT,"France, Global",https://icsstrive.com/incident/schneider-hit-in-moveit-transfer-zero-day/
MOVEit Campaign Continues Affecting <900 Schools in Almost Every US State.,05/30/2023,National Student Clearinghouse (NSC),,Clop (or Cl0p) ransomware gang,IT  Privacy,United States,https://icsstrive.com/incident/moveit-campaign-continues-affecting/
German Biogas Register Offline Due to Cyberattack,05/26/2023,"Deutschen Energie Agentur, Dena",,,IT,Germany,https://icsstrive.com/incident/german-biogas-register-offline-due-to-cyberattack/
Augusta Utilities Cyberattack Disables Water Meter Readers causing Extended Billing Chaos,05/25/2023,Augusta Utilities,,,IT,United States,https://icsstrive.com/incident/augusta-utilities-cyberattack-disables-water-meter-readers-causing-extended-billing-chaos/
"City of Mayen, Germany, Reports Street Light Outage Due to Cyberattack on Control Partner",05/25/2023,Unidentified,,,IT,Germany,https://icsstrive.com/incident/city-of-mayen-germany-reports-street-light-outage-due-to-cyberattack-on-control-partner/
Hackers Demand $3M from Scandinavian Airlines (SAS),05/24/2023,Scandinavian Airlines (SAS),,Anonymous Sudan,IT,Sweden,https://icsstrive.com/incident/hackers-demand-3m-from-scandinavian-airlines-sas/
Switserland: Federal Passwords and Classified Information Stolen,05/23/2023,Xplain,,"Play, aka PlayCrypt",IT  Privacy,Switzerland,https://icsstrive.com/incident/federal-passwords-and-classified-information-stolen/
Ransomware Attack at Indian MPPMC Power Company,05/22/2023,Madhya Pradesh Power Management Company (MPPMC),Ransomware – Unknown group or variant,,IT,India,https://icsstrive.com/incident/ransomware-attack-at-indian-mppmc-power-company/
Significant Revenue Loss at Indian Pharmaceutical Giant after Cyberattack,05/20/2023,Granules India,,LockBit,OT IT,India,https://icsstrive.com/incident/significant-revenue-loss-at-indian-pharmaceutical-giant-after-cyberattack/
Unnamed US Energy Company Targeted with QR code Phishing Campaign,05/20/2023,,,,IT,United States,https://icsstrive.com/incident/unnamed-us-energy-company-targeted-with-qr-code-phishing-campaign/
German Cloud Service Provider Hacked,05/20/2023,United Hoster,,,IT,,https://icsstrive.com/incident/german-cloud-service-provider-hacked/
Critical Infrastructure Disrupted in Martinique by Prolonged Cyberattack,05/16/2023,Martinique,,Rhysida Ransomware Group,IT,France,https://icsstrive.com/incident/critical-infrastructure-disrupted-in-martinique-by-prolonged-cyberattack/
Data Breach at Fresh Del Monte Produce Exposed Employee Data,05/16/2023,"Fresh Del Monte Produce, Inc.",,,IT  Privacy,United States,https://icsstrive.com/incident/data-breach-at-fresh-del-monte-produce-exposed-employee-data/
ScanSource Mitigates Business Impact after Cyberattack,05/14/2023,ScanSource Inc.,,,IT,United States,https://icsstrive.com/incident/scansource-mitigates-business-impact-after-cyberattack/
Lacroix Hit in Cyberattack,05/12/2023,Lacroix,,,OT IT,France,https://icsstrive.com/incident/lacroix-hit-in-cyberattack/
Philadelphia Inquirer Unable to Print Sunday Paper,05/11/2023,The Philadelphia Inquirer,,,OT IT,United States,https://icsstrive.com/incident/philadelphia-inquirer-unable-to-print-sunday-paper/
Largest Recorded Cyberattacks at Danish Energy Infrastructure,05/11/2023,Danish Energy Infrastructure,Unknown,Unconfirmed,IT,Denmark,https://icsstrive.com/incident/largest-recorded-cyberattacks-at-danish-energy-infrastructure/
Cyberattack Halts Production at Factories of Suzuki Motorcycle India,05/10/2023,Suzuki Motorcycle India,,,OT IT,India,https://icsstrive.com/incident/cyberattack-halts-production-at-factories-of-suzuki-motorcycle-india/
Inside Job: Tesla Suffers  Data Breach,05/10/2023,Tesla,,,IT,United States,https://icsstrive.com/incident/inside-job-tesla-suffers-data-breach/
Widespread Disruption at Norton Healthcare Operations after Ransomware Attack,05/09/2023,Norton Healthcare Services,,BlackCat / ALPHV,IT,United States,https://icsstrive.com/incident/widespread-disruption-at-norton-healthcare-operations-after-ransomware-attack/
"ABB Hit in Cyberattack, Operations Suffer",05/07/2023,ABB,,Black Basta Group,OT IT,Switzerland,https://icsstrive.com/incident/abb-hit-in-cyberattack-operations-suffer/
Contractor inserts  Cyber “Time Bomb Attack” in Firmware of Orqa Drone Goggle,05/06/2023,Orqa,,,OT IT,Croatia,https://icsstrive.com/incident/contractor-inserts-cyber-time-bomb-attack-in-firmware-of-orqa-drone-goggle/
City of Dallas Operations Widely Disrupted by Ransomware Attack,05/02/2023,The City of Dallas,,Royal Ransomware gang,IT,United States,https://icsstrive.com/incident/city-of-dallas-disrupted-by-ransomware-attack/
‘Sandworm’ Attack Interrupts Service at 11 Telcom Providers in Ukraine,05/01/2023,Unidentified,,Sandworm,,Ukraine,https://icsstrive.com/incident/sandworm-attack-interrupts-service-at-11-telcom-providers-in-ukraine/
Entire Data Centers Taken Offline at Giant German IT Service Provider Bitmarck,04/30/2023,Bitmarck,,,IT,Germany,https://icsstrive.com/incident/entire-data-centers-taken-offline-at-giant-german-it-service-provider-bitmarck/
<9000 American Airlines and Southwest Airlines Pilots Affected by Data Breach at 3rd Party Vendor,04/30/2023,"Southwest Airlines, Pilot Credentials, American Airlines",,,IT  Privacy,United States,https://icsstrive.com/incident/american-airlines-and-southwest-airlines-pilots-affected-by-data-breach/
"Emergency Operational Shutdown at Maxim, German Cosmetics Manufacturer",04/29/2023,Maxim Cosmetics,,,OT IT,Germany,https://icsstrive.com/incident/emergency-operational-shutdown-at-maxim-german-cosmetics-manufacturer/
"German Autoparts Specialist, the Bilstein Group, Confirms Cyberattack",04/29/2023,Bilstein Group,,,IT,Germany,https://icsstrive.com/incident/german-autoparts-specialist-the-bilstein-group-confirms-cyberattack/
Ransomware Disrupts Operations at Italian Water Management Company,04/28/2023,Alto Calore Servizi SpA,,,IT,Italy,https://icsstrive.com/incident/ransomware-disrupts-operations-at-italian-water-management-company/
"Ransomware Attack at Billstein, German Car Parts Manufacturing, Group.",04/28/2023,Billstein Group,,BianLian Ransomware Group,IT,Germany,https://icsstrive.com/incident/ransomware-attack-at-billstein-german-car-parts-manufacturing-group/
French Cosmetics Factory at Standstill after Cyberattack,04/27/2023,Elysée Cosmétiques,,,OT IT,France,https://icsstrive.com/incident/french-cosmetics-factory-at-standstill-after-cyberattack/
Operations Impacted at Americold after Network Breach,04/26/2023,Americold,,,OT IT,,https://icsstrive.com/incident/operations-impacted-at-americold-after-network-breach/
Cyber Incident at Coca Cola Mexico,04/26/2023,Coca-Cola,,,IT,Mexico,https://icsstrive.com/incident/cyber-incident-at-coca-cola-mexico/
Cyberattack at American Meterological Institute,04/24/2023,American Meteorological Society,,,IT,United States,https://icsstrive.com/incident/cyberattack-at-american-meterological-institute/
Royal Vopak’s Malaysian Oil Storage Complex Hit by Ransomware Attack,04/24/2023,Royal Vopak N.V.,,BlackCat / ALPHV,IT,"Malaysia, Netherlands",https://icsstrive.com/incident/royal-vopaks-malaysian-oil-storage-complex-hit-by-ransomware-attack/
Emergency Shut Down at Medical Clinic in TN after Cyberattack,04/22/2023,Murfreesboro Medical Clinic & SurgiCenter (MMC),,,OT IT,United States,https://icsstrive.com/incident/emergency-shut-down-at-medical-clinic-in-tn-after-cyberattack/
German Steelmaker Hacked,04/20/2023,Badische Stahlwerke (BSW),,,OT IT,Germany,https://icsstrive.com/incident/german-steelmaker-hacked/
Lockbit Group Demands Ransom of Colombian Grupo Nutresa,04/20/2023,Grupo Nutresa,,LockBit,IT,Colombia,https://icsstrive.com/incident/lockbit-group-demands-ransom-of-colombian-grupo-nutresa/
Killnet Launches DDoS Attacks on EUROCONTROL Website,04/19/2023,EUROCONTROL,DDoS Attack,Killnet,IT,Belgium,https://icsstrive.com/incident/killnet-launches-ddos-attacks-on-eurocontrol-website/
Toyota Databreach for Ten Years Exposes Car Location Data of over 2M Customers,04/17/2023,Toyota Motor Corporation,,,IT  Privacy,Japan,https://icsstrive.com/incident/toyota-databreach-for-ten-years-exposes-car-location-data-of-over-2m-customers/
Cyberattack at Electricity Supply Company in Peru,04/17/2023,Sociedad Eléctrica del Sur Oeste (SEAL,,,IT,Peru,https://icsstrive.com/incident/cyberattack-at-electricity-supply-company-in-peru/
14 Ontario Gateway Casinos Close for Two Weeks after Ransomware Attack,04/16/2023,Canada’s Gateway Casinos & Entertainment Ltd,Ransomware – unknown,,OT IT,Canada,https://icsstrive.com/incident/14-ontario-gateway-casinos-close-for-two-weeks-after-ransomware-attack/
Ransomware Attack Shuts Down 14 Canadian Gateway Casinos for Two Weeks,04/16/2023,,,,OT IT,Canada,https://icsstrive.com/incident/ransomware-attack-shuts-down-14-canadian-gateway-casinos-for-two-weeks/
Phishing Campaign Accessed Data for 15 Months at Multinational Shipping Company UPS,04/15/2023,UPS,,,IT,United States,https://icsstrive.com/incident/phishing-campaign-accessed-data-for-15-months-at-multinational-shipping-company-ups/
Alamos Gold Mining Company Discloses 2023 Databreach,04/15/2023,Alamos Gold,,Black Basta Group,IT  Privacy,Canada,https://icsstrive.com/incident/alamos-gold-mining-company-discloses-2023-databreach/
Rheinmetall’s Automotive Sector Hit by Cyberattack,04/14/2023,Rheinmetall AG,,Black Basta Group,OT IT,Germany,https://icsstrive.com/incident/rheinmetalls-automotive-sector-hit-by-cyberattack/
"DDOS Cyberattack at Canadian Primary Eastern Seaports: Halifax, Montreal and Quebec.",04/14/2023,"Port of Quebec, Port of Montreal, Port of Halifax",,NoName057(16),IT,Canada,https://icsstrive.com/incident/ddos-cyberattack-at-canadian-primary-eastern-seaports-halifax-montreal-and-quebec/
Ransomware Attack at NCR,04/13/2023,NCR,,BlackCat / ALPHV,IT,United States,https://icsstrive.com/incident/ransomware-attack-at-ncr/
DDOS Hacktivist Attack at Quebec’s Power Utility,04/13/2023,Hydro-Québec,,NoName057(16),IT,Canada,https://icsstrive.com/incident/ddos-hacktivist-attack-at-quebecs-power-utility/
Operations Halted at German Shipbuilder,04/12/2023,Lürssen shipyard,Ransomware – Unknown group or variant,,OT IT,Germany,https://icsstrive.com/incident/operations-halted-at-german-superyacht-maker-by-ransomware-attack/
Databreach Impacts Italian and French Hyundai Car Owners,04/12/2023,Hyundai,,,IT,"France, Italy, Korea",https://icsstrive.com/incident/databreach-impacts-italian-and-french-hyundai-car-owners/
Wafer Equipment Maker Hit In Cyberattack,04/11/2023,Mattson Technology Inc,,,IT  Privacy,"China, United States",https://icsstrive.com/incident/wafer-equipment-maker-hit-in-cyberattack/
Israel Water Monitoring Systems in Cyber Attack,04/09/2023,Irrigation controls on Farms in Northern Israel.,,,OT IT,Israel,https://icsstrive.com/incident/israel-water-monitoring-systems-in-cyber-attack/
Attack Disables Irrigation Systems and Disrupts Water Treatment Processes,04/09/2023,Galil Sewage Corporation,,,OT IT,Israel,https://icsstrive.com/incident/attack-disables-irrigation-systems-and-disrupts-water-treatment-processes/
"Operations Disrupted at Machine Manufacturer, Bobst.",04/08/2023,Bobst Machine Manufacturer,,Black Basta Group,OT IT,Switzerland,https://icsstrive.com/incident/operations-disrupted-at-machine-manufacturer-bobst/
German Biotechnology Company Evotec Shuts Down IT Systems,04/06/2023,Evotec SE,,,IT,Germany,https://icsstrive.com/incident/german-biotechnology-company-evotec-shuts-down-it-systems/
Enzo Biochem Breach Exposes Clinical Test Data on 2.5M People,04/06/2023,Enzo Biochem,,,IT,United States,https://icsstrive.com/incident/enzo-biochem-breach-exposes-clinical-test-data-on-2-5m-people/
Ransomware Attack Delays Shipyard Production at Marinette Marine Shipyard,04/06/2023,"Fincantieri Marine Group (FMG), LLC",,,OT IT,United States,https://icsstrive.com/incident/ransomware-attack-delays-shipyard-production-at-marinette-marine-shipyard/
Hackers Stole Source Code from Taiwanese PC Parts Maker MSI,04/05/2023,MSI (Micro-Star International),,Money Message ransomware gang,IT,Taiwan,https://icsstrive.com/incident/hackers-stole-source-code-from-taiwanese-pc-parts-maker-msi/
